Country,Land Area(Km2),Co2-Emissions,CPI,GDP,Population,Latitude,Longitude
Republic of the Congo,342000.00,3282.00,124.74,10820591131.00,5380508.00,-0.23,15.83
Costa Rica,51100.00,8023.00,128.85,61773944174.00,5047561.00,9.75,-83.75
Croatia,56594.00,17488.00,109.82,60415553039.00,4067500.00,45.10,15.20
Cuba,110860.00,28284.00,,100023000000.00,11333483.00,21.52,-77.78
Cyprus,9251.00,6626.00,102.51,24564647935.00,1198575.00,35.13,33.43
Czech Republic,78867.00,102218.00,116.48,246489245495.00,10669709.00,49.82,15.47
Democratic Republic of the Congo,2344858.00,2021.00,133.85,47319624204.00,86790567.00,-4.04,21.76
Denmark,43094.00,31786.00,110.35,348078018464.00,5818553.00,56.26,9.50
Djibouti,23200.00,620.00,120.25,3318716359.00,973560.00,11.83,42.59
Dominica,751.00,180.00,103.87,596033333.00,71808.00,15.41,-61.37
Dominican Republic,48670.00,25258.00,135.50,88941298258.00,10738958.00,18.74,-70.16
Ecuador,283561.00,41155.00,124.14,107435665000.00,17373662.00,-1.83,-78.18
Egypt,1001450.00,238560.00,288.57,303175127598.00,100388073.00,26.82,30.80
El Salvador,21041.00,7169.00,111.23,27022640000.00,6453553.00,13.79,-88.90
Equatorial Guinea,28051.00,5655.00,124.35,11026774945.00,1355986.00,1.65,10.27
Eritrea,117600.00,711.00,,2065001626.00,6333135.00,15.18,39.78
Estonia,45228.00,16590.00,122.14,31386949981.00,1331824.00,58.60,25.01
Ethiopia,1104300.00,14870.00,143.86,96107662398.00,112078730.00,9.15,40.49
Fiji,18274.00,2046.00,132.30,5535548972.00,889953.00,-17.71,178.07
Finland,338145.00,45871.00,112.33,268761201365.00,5520314.00,61.92,25.75
France,643801.00,303276.00,110.05,2715518274227.00,67059887.00,46.23,2.21
Gabon,267667.00,5321.00,122.19,16657960228.00,2172579.00,-0.80,11.61
The Gambia,11300.00,532.00,172.73,1763819048.00,2347706.00,13.44,-15.31
Georgia,69700.00,10128.00,133.61,17743195770.00,3720382.00,42.32,43.36
Germany,357022.00,727973.00,112.85,3845630030824.00,83132799.00,51.17,10.45
Ghana,238533.00,16670.00,268.36,66983634224.00,30792608.00,7.95,-1.02
Greece,131957.00,62434.00,101.87,209852761469.00,10716322.00,39.07,21.82
Grenada,349.00,268.00,107.43,1228170370.00,112003.00,12.12,-61.68
Guatemala,108889.00,16777.00,142.92,76710385880.00,16604026.00,15.78,-90.23
Guinea,245857.00,2996.00,262.95,13590281809.00,12771246.00,9.95,-9.70
Guinea-Bissau,36125.00,293.00,111.65,1340389411.00,1920922.00,11.80,-15.18
Guyana,214969.00,2384.00,116.19,4280443645.00,782766.00,4.86,-58.93
Haiti,27750.00,2978.00,179.29,8498981821.00,11263077.00,18.97,-72.29
